"Timestamp","Género","Edad","Altura en metros","Hornalla favorita","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante derecha]","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás derecha]","La cocina es","¿Con qué encendés las hornallas?","¿Con qué frecuencia usás una hornalla?","¿Cuál es tu mano más hábil?","¿Tenés niñes menores en tu casa?","¿Tenés mascotas en tu casa?","¿Hacia qué lado del anafe tenés mesada?"
"2020/08/11 2:57:15 PM GMT-3","Hombre","29","1.77","Atrás izquierda","Alta","Baja","Media","Baja","A gas","Magiclik","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 2:57:16 PM GMT-3","Hombre","40","17","Adelante izquierda","Baja","Media","Baja","Funciona mal","A gas","Fósforos","Todos los días","Derecha","Sí","No","Derecha"
"2020/08/11 2:57:27 PM GMT-3","Mujer","23","1.56","Adelante derecha","Baja","Funciona mal","Alta","Baja","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 2:57:52 PM GMT-3","Hombre","37","1.76","Atrás izquierda","Media","Media","Alta","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, y creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 2:59:00 PM GMT-3","Hombre","52","1.87","Atrás izquierda","Alta","Media","Media","Alta","A gas","Encendedor","Todos los días","Derecha","Sí","No","Izquierda;Derecha"
"2020/08/11 2:59:02 PM GMT-3","Hombre","25","1.75","Adelante derecha","Alta","Alta","Alta","Alta","A gas","Botón de la cocina","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 2:59:07 PM GMT-3","Mujer","33","1.75","Atrás izquierda","Alta","Alta","Alta","Alta","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 2:59:24 PM GMT-3","Mujer","30","1.65","Atrás izquierda","Alta","Alta","Alta","Alta","A gas","Botón de la cocina","Todos los días","Izquierda","No","No","Izquierda;Derecha"
"2020/08/11 2:59:26 PM GMT-3","Hombre","37","1.9","Atrás izquierda","Alta","Baja","Media","Alta","A gas","Es automático","Día por medio","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Al frente"
"2020/08/11 2:59:43 PM GMT-3","Hombre","44","1.76","Atrás derecha","Media","Alta","Baja","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:00:01 PM GMT-3","Hombre","25","1.70","Atrás izquierda","Media","Alta","Media","Media","A gas","Magiclik","Día por medio","Izquierda","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:00:08 PM GMT-3","Hombre","29","1.72","Atrás izquierda","Alta","Baja","Funciona mal","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:00:29 PM GMT-3","Mujer","66","1.56","Adelante derecha","Baja","Alta","Alta","Media","Eléctrica","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Al frente"
"2020/08/11 3:00:36 PM GMT-3","Mujer","38","1.64","Adelante derecha","Media","Baja","Alta","Media","A gas","Es automático","Todos los días","Izquierda","Sí","No","Derecha"
"2020/08/11 3:00:42 PM GMT-3","Otre","32","1.81","Adelante izquierda","Media","Alta","Media","No tengo","A gas","Magiclik","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:01:02 PM GMT-3","Hombre","40","1.76","Atrás derecha","Alta","Media","Baja","Media","A gas","Fósforos","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:01:03 PM GMT-3","Hombre","37","1.75","Adelante derecha","Media","Alta","Baja","Alta","A gas","Botón de la cocina","Todos los días","Izquierda","Sí","No","Derecha"
"2020/08/11 3:01:42 PM GMT-3","Mujer","23","1.70","Adelante derecha","Baja","Alta","Alta","Funciona mal","A gas","Fósforos","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:01:56 PM GMT-3","Hombre","40","1.84","Adelante izquierda","Media","Media","Media","Media","A gas","Encendedor","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:01:56 PM GMT-3","Hombre","36","1.75","Atrás derecha","Baja","Media","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:01:57 PM GMT-3","Hombre","37","1.83","Atrás izquierda","Baja","Alta","Media","Baja","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:02:07 PM GMT-3","Hombre","26","1.70","Adelante derecha","Media","Baja","Alta","Media","A gas","Encendedor","Día por medio","Derecha","No","No","Derecha"
"2020/08/11 3:02:23 PM GMT-3","Hombre","22","1.85","Adelante derecha","Baja","Media","Alta","Alta","A gas","Fósforos","Día por medio","Derecha","No","No","Derecha"
"2020/08/11 3:02:29 PM GMT-3","Hombre","31","1.65","Adelante derecha","Alta","Media","Alta","Baja","A gas","Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:02:31 PM GMT-3","Hombre","21","1.73","Atrás izquierda","Media","Media","Alta","Media","A gas","Encendedor","Todos los días","Izquierda","No","No","Izquierda"
"2020/08/11 3:02:32 PM GMT-3","Mujer","32","1.74","Adelante derecha","Baja","Media","Media","Alta","A gas","Fósforos","Todos los días","Izquierda","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:02:33 PM GMT-3","Otre","38","1.64","Atrás izquierda","Media","Media","Media","Media","A gas","Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:02:52 PM GMT-3","Mujer","30","1.65","Adelante derecha","Media","Media","Media","Media","A gas","Encendedor","Todos los días","Izquierda","No","No","Izquierda;Derecha"
"2020/08/11 3:02:55 PM GMT-3","Mujer","33","1.82","Adelante derecha","Alta","Media","Alta","Media","Eléctrica","Es automático","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:02:55 PM GMT-3","Hombre","29","1.72","Adelante izquierda","Alta","Alta","Media","Baja","A gas","Magiclik","Todos los días","Izquierda","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:03:03 PM GMT-3","Hombre","24","1.84","Adelante derecha","Baja","Media","Alta","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:03:32 PM GMT-3","Hombre","25","1.75","Adelante izquierda","No tengo","Media","Media","Alta","A gas","Fósforos","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:03:35 PM GMT-3","Hombre","26","1.70","Adelante derecha","Alta","Alta","Alta","Baja","A gas","Es automático","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:03:37 PM GMT-3","Hombre","52","1.7","Atrás derecha","Media","Alta","Baja","Media","A gas","Botón de la cocina","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:03:51 PM GMT-3","Hombre","35","1.75","Adelante izquierda","Media","Alta","Baja","Funciona mal","A gas","Es automático","Todos los días","Derecha","Sí","No","Derecha"
"2020/08/11 3:03:54 PM GMT-3","Hombre","28","1.68","Atrás derecha","Media","Baja","Media","Alta","A gas","Botón de la cocina","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:03:55 PM GMT-3","Hombre","42","1.67","Atrás izquierda","Media","Media","Media","Media","Eléctrica","Es automático","Todos los días","Derecha","Sí","No","Izquierda"
"2020/08/11 3:03:57 PM GMT-3","Hombre","25","1.75","Adelante izquierda","Media","Media","Funciona mal","Media","A gas","Fósforos","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:04:08 PM GMT-3","Hombre","22","170","Adelante derecha","Media","Media","Alta","Alta","Eléctrica","Botón de la cocina","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:04:21 PM GMT-3","Hombre","33","1.80","Adelante izquierda","Media","Media","Baja","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:04:22 PM GMT-3","Mujer","27","155","Adelante izquierda","Alta","Funciona mal","Baja","Baja","A gas","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:04:37 PM GMT-3","Mujer","24","1.75","Adelante izquierda","Alta","Media","Baja","Funciona mal","A gas","Encendedor","Todos los días","Izquierda","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:04:38 PM GMT-3","Hombre","21","1.8","Atrás izquierda","Alta","Alta","Alta","Alta","A gas","Magiclik","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:04:47 PM GMT-3","Hombre","33","1.8","Adelante derecha","Media","Media","Baja","Alta","A gas","Botón de la cocina","Todos los días","Derecha","Sí","No","Izquierda"
"2020/08/11 3:04:51 PM GMT-3","Mujer","20","1.56","Adelante derecha","Alta","Media","Media","Baja","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:05:11 PM GMT-3","Mujer","30","1.61","Adelante derecha","Baja","Alta","Media","No tengo","A gas","Encendedor","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:05:15 PM GMT-3","Hombre","30","1.87","Atrás izquierda","Alta","Media","Media","Alta","A gas","Fósforos","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:05:27 PM GMT-3","Hombre","42","1.86","Adelante derecha","Media","Media","Media","Media","A gas","Magiclik","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:05:50 PM GMT-3","Hombre","30","1.80","Adelante izquierda","Alta","Baja","Alta","Alta","A gas","Fósforos","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:05:53 PM GMT-3","Hombre","30","1.70","Atrás izquierda","Media","Baja","Media","Alta","A gas","Magiclik","Todos los días","Izquierda","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:06:14 PM GMT-3","Mujer","23","1.68","Atrás derecha","Alta","Alta","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:06:22 PM GMT-3","Hombre","26","1.75","Adelante izquierda","Media","Alta","Media","Media","A gas","Encendedor","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:06:28 PM GMT-3","Hombre","20","175","Adelante derecha","Funciona mal","Funciona mal","Alta","Alta","A gas","Botón de la cocina","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:06:48 PM GMT-3","Mujer","22","1.72","Adelante izquierda","Media","Alta","Media","Funciona mal","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:06:51 PM GMT-3","Mujer","19","160","Adelante izquierda","Funciona mal","Media","Baja","Alta","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:07:00 PM GMT-3","Mujer","33","1.73","Adelante derecha","Media","Media","Baja","Alta","A gas","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:07:07 PM GMT-3","Hombre","27","1.75","Atrás derecha","Alta","Media","Media","Alta","Eléctrica","es eléctrica","Todos los días","Izquierda","No","Sí, pero no creo que tocarían el fuego","Al frente"
"2020/08/11 3:07:17 PM GMT-3","Hombre","29","1.76","Adelante derecha","Alta","Alta","Alta","Alta","A gas","Magiclik;Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:07:26 PM GMT-3","Hombre","40","1.70","Adelante derecha","Media","Media","Baja","Media","A gas","Magiclik;Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:07:35 PM GMT-3","Mujer","28","1.70","Adelante izquierda","No tengo","No tengo","Alta","Media","Eléctrica","Es automático","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:07:40 PM GMT-3","Mujer","39","1.60","Adelante derecha","Media","Baja","Media","Alta","A gas","Magiclik;Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:07:40 PM GMT-3","Hombre","26","1.75","Adelante izquierda","Alta","Media","Baja","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:07:49 PM GMT-3","Mujer","33","1.62","Adelante derecha","Media","Media","Media","Media","A gas","Fósforos","Día por medio","Derecha","No","No","Derecha"
"2020/08/11 3:08:02 PM GMT-3","Hombre","22","1.75","Adelante izquierda","Baja","Media","Media","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:08:14 PM GMT-3","Mujer","26","1.54","Adelante derecha","Media","Alta","Alta","Funciona mal","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:08:25 PM GMT-3","Hombre","30","1.70","Atrás derecha","Alta","Baja","Media","Alta","A gas","Botón de la cocina","Día por medio","Derecha","No","No","Izquierda"
"2020/08/11 3:08:28 PM GMT-3","Mujer","27","1.55","Adelante derecha","Baja","Baja","Alta","Media","Eléctrica","Botón de la cocina","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:08:35 PM GMT-3","Hombre","35","1.67","Atrás derecha","Baja","Media","Media","Alta","A gas","Botón de la cocina","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:08:37 PM GMT-3","Hombre","41","1.85","Atrás derecha","Baja","Alta","Baja","Alta","A gas","Botón de la cocina","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:08:50 PM GMT-3","Hombre","36","1.90","Adelante izquierda","Alta","Alta","Baja","Alta","Combinada","Botón de la cocina","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:08:57 PM GMT-3","Hombre","28","1.82","Adelante derecha","Media","Baja","Alta","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:09:25 PM GMT-3","Mujer","30","163","Atrás izquierda","Media","Media","Media","Funciona mal","A gas","Magiclik","Todos los días","Izquierda","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:09:31 PM GMT-3","Mujer","33","1.50","Adelante izquierda","Alta","Alta","Media","Alta","A gas","Encendedor;Fósforos","Día por medio","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:09:57 PM GMT-3","Hombre","41","1.77","Atrás derecha","Baja","Alta","Alta","Media","A gas","Fósforos","Todos los días","Derecha","Sí","No","Izquierda"
"2020/08/11 3:10:00 PM GMT-3","Hombre","48","1.72","Adelante derecha","Alta","Baja","Alta","Alta","A gas","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:10:14 PM GMT-3","Mujer","28","1.69","Adelante izquierda","Alta","Media","Baja","Media","A gas","Fósforos","Todos los días","Izquierda","No","No","Izquierda;Derecha"
"2020/08/11 3:10:28 PM GMT-3","Hombre","36","1.81","Atrás izquierda","Media","Media","Baja","No tengo","A gas","Fósforos","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:10:39 PM GMT-3","Mujer","24","1.58","Adelante derecha","Media","Alta","Baja","Media","A gas","Encendedor;Magiclik;Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:10:56 PM GMT-3","Hombre","24","1.70","Adelante izquierda","Media","Alta","Media","Media","A gas","Encendedor;Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:11:03 PM GMT-3","Hombre","31","1.82","Adelante derecha","Media","Baja","Alta","No tengo","A gas","Encendedor;Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:11:20 PM GMT-3","Hombre","37","1.83","Atrás derecha","Alta","Media","Baja","Alta","A gas","Magiclik","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:11:25 PM GMT-3","Mujer","30","1.70","Atrás izquierda","Media","Baja","Alta","Baja","A gas","Magiclik","Todos los días","Derecha","No","Sí, y creo que tocarían el fuego","Izquierda"
"2020/08/11 3:11:29 PM GMT-3","Mujer","32","1.56","Adelante derecha","Alta","Alta","Media","Alta","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:11:40 PM GMT-3","Hombre","35","1.71","Atrás derecha","Alta","Funciona mal","Alta","Alta","A gas","Botón de la cocina","Todos los días","Derecha","Sí","No","Izquierda;Derecha"
"2020/08/11 3:12:18 PM GMT-3","Mujer","27","1.56","Adelante izquierda","Media","Alta","Baja","Media","A gas","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:12:36 PM GMT-3","Hombre","38","1.81","Adelante derecha","Media","Baja","Media","Alta","A gas","Fósforos","Día por medio","Derecha","Sí","No","Izquierda"
"2020/08/11 3:12:53 PM GMT-3","Mujer","28","1.64","Adelante derecha","Funciona mal","Media","Media","Funciona mal","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:13:05 PM GMT-3","Hombre","33","1.81","Adelante izquierda","Media","Alta","Baja","Funciona mal","A gas","Encendedor","Todos los días","Derecha","No","No","Al frente"
"2020/08/11 3:13:23 PM GMT-3","Mujer","45","1.63","Adelante derecha","Media","Baja","Media","Media","A gas","Magiclik;Fósforos","Todos los días","Izquierda;Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:13:29 PM GMT-3","Hombre","24","1.75","Adelante izquierda","Alta","Alta","Alta","Alta","A gas","Encendedor","Todos los días","Izquierda","No","No","Derecha"
"2020/08/11 3:14:07 PM GMT-3","Mujer","28","1.72","Adelante izquierda","Funciona mal","Alta","Media","Baja","A gas","Encendedor","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:15:01 PM GMT-3","Mujer","28","1.60","Adelante derecha","Media","Baja","Media","Alta","A gas","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:16:18 PM GMT-3","Hombre","23","1.82","Atrás derecha","Alta","Baja","Media","Alta","A gas","Fósforos","Todos los días","Izquierda","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:16:33 PM GMT-3","Hombre","23","1.75","Adelante izquierda","Baja","Alta","Media","Baja","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:16:42 PM GMT-3","Mujer","26","1.60","Atrás izquierda","Media","Media","Baja","Alta","A gas","Encendedor;Botón de la cocina","Dos o tres veces por semana","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:16:56 PM GMT-3","Hombre","24","1.74","Adelante izquierda","Alta","Alta","Alta","Alta","A gas","Encendedor","Todos los días","Izquierda","No","No","Izquierda"
"2020/08/11 3:17:10 PM GMT-3","Hombre","35","1.73","Atrás derecha","Baja","Alta","Baja","Media","A gas","Botón de la cocina","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:17:10 PM GMT-3","Hombre","37","1.74","Adelante izquierda","Media","Alta","Media","No tengo","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:17:29 PM GMT-3","Mujer","43","1.60","Adelante derecha","Alta","Alta","Alta","Alta","A gas","Es automático","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:18:01 PM GMT-3","Mujer","30","1.6","Adelante derecha","No tengo","Baja","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:18:09 PM GMT-3","Mujer","42","170","Atrás derecha","Media","Baja","Alta","Media","A gas","Botón de la cocina","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:18:12 PM GMT-3","Hombre","25","1.77","Atrás izquierda","Alta","Baja","Baja","Media","A gas","Botón de la cocina","Dos o tres veces por semana","Izquierda;Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:18:25 PM GMT-3","Hombre","21","1.67","Atrás izquierda","Alta","Funciona mal","Baja","Media","A gas","Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:18:50 PM GMT-3","Mujer","24","1.60","Adelante derecha","Baja","Funciona mal","Media","Alta","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:18:58 PM GMT-3","Otre","27","1.64","Adelante derecha","Baja","Funciona mal","Media","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:19:00 PM GMT-3","Hombre","34","1.70","Atrás izquierda","Media","Alta","Media","Alta","Eléctrica","Es automático","Todos los días","Derecha","Sí","No","Izquierda;Derecha"
"2020/08/11 3:19:14 PM GMT-3","Hombre","30","1.8","Adelante izquierda","Media","Media","Alta","Media","A gas","Magiclik","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:19:23 PM GMT-3","Hombre","28","1.75","Atrás izquierda","Media","Media","Media","Media","A gas","Encendedor;Magiclik","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:19:29 PM GMT-3","Hombre","22","1.79","Adelante derecha","Media","Baja","Media","Media","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:19:34 PM GMT-3","Hombre","21","1.80","Adelante izquierda","Baja","Media","Alta","Media","A gas","Encendedor","Todos los días","Izquierda","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:19:50 PM GMT-3","Mujer","41","1.68","Adelante izquierda","Alta","Alta","Alta","Alta","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:19:56 PM GMT-3","Hombre","34","1.77","Adelante izquierda","Alta","Alta","Alta","Alta","A gas","Magiclik","Dos o tres veces por semana","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:20:04 PM GMT-3","Hombre","37","1.8","Atrás izquierda","Alta","Funciona mal","Baja","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:20:05 PM GMT-3","Mujer","35","1.65","Adelante derecha","Baja","Media","Alta","Media","A gas","Botón de la cocina","Todos los días","Derecha","Sí","Sí, y creo que tocarían el fuego","Derecha"
"2020/08/11 3:20:35 PM GMT-3","Hombre","44","1.76","Adelante derecha","Media","Alta","Alta","Media","A gas","Encendedor","Día por medio","Izquierda","Sí","No","Derecha"
"2020/08/11 3:20:42 PM GMT-3","Hombre","33","1.80","Adelante izquierda","Alta","Media","Baja","Media","A gas","Es automático","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:20:49 PM GMT-3","Mujer","35","1.52","Adelante derecha","Baja","Media","Media","Funciona mal","A gas","Magiclik","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 3:20:50 PM GMT-3","Mujer","35","1.70","Atrás izquierda","Alta","Alta","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:20:52 PM GMT-3","Otre","29","1.65","Adelante derecha","Media","Media","Alta","Media","A gas","Encendedor;Fósforos","Todos los días","Derecha","No","Sí, y creo que tocarían el fuego","Derecha"
"2020/08/11 3:21:08 PM GMT-3","Hombre","22","1.70","Atrás derecha","Funciona mal","Media","Alta","Alta","Eléctrica","Fósforos","Dos o tres veces por semana","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:21:16 PM GMT-3","Mujer","41","1.65","Atrás derecha","Media","Baja","Media","Alta","A gas","Magiclik","Todos los días","Derecha","Sí","No","Izquierda"
"2020/08/11 3:21:32 PM GMT-3","Hombre","29","1.83","Adelante derecha","Media","Media","Media","Media","A gas","Fósforos","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:21:38 PM GMT-3","Mujer","20","1.61","Adelante izquierda","Alta","Alta","Media","Alta","A gas","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:21:41 PM GMT-3","Mujer","30","1.61","Atrás derecha","Media","Funciona mal","Funciona mal","Alta","A gas","Encendedor;Magiclik","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:21:42 PM GMT-3","Hombre","37","1.65","Adelante izquierda","Baja","Alta","Baja","Baja","A gas","Botón de la cocina","Todos los días","Derecha","Sí","No","Izquierda"
"2020/08/11 3:21:43 PM GMT-3","Hombre","28","1.85","Adelante izquierda","Media","Media","Media","Media","A gas","Encendedor","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:21:46 PM GMT-3","Hombre","21","1.79","Adelante derecha","Alta","Baja","Media","Baja","A gas","Magiclik","Una vez por semana o menos","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:21:47 PM GMT-3","Hombre","35","1.65","Adelante derecha","Alta","Media","Media","Alta","A gas","Magiclick sin gas","Todos los días","Izquierda","No","No","Derecha"
"2020/08/11 3:21:47 PM GMT-3","Hombre","30","1.72","Adelante derecha","Alta","Alta","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:21:52 PM GMT-3","Hombre","31","1.88","Atrás izquierda","Media","Media","Alta","Baja","A gas","Es automático","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:22:00 PM GMT-3","Hombre","25","1.88","Adelante izquierda","Baja","Alta","Baja","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:22:29 PM GMT-3","Mujer","32","1.68","Adelante izquierda","Media","Alta","Baja","Baja","A gas","Encendedor;Magiclik","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:22:42 PM GMT-3","Mujer","18","1.65","Adelante izquierda","Baja","Alta","Media","Media","A gas","Fósforos","Día por medio","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:22:45 PM GMT-3","Mujer","27","1.67","Atrás izquierda","Media","Baja","Media","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
