"Timestamp","Género","Edad","Altura en metros","Hornalla favorita","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante derecha]","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás derecha]","La cocina es","¿Con qué encendés las hornallas?","¿Con qué frecuencia usás una hornalla?","¿Cuál es tu mano más hábil?","¿Tenés niñes menores en tu casa?","¿Tenés mascotas en tu casa?","¿Hacia qué lado del anafe tenés mesada?"
"2020/08/11 8:43:54 PM GMT-3","Hombre","26","1.88","Adelante derecha","Media","Baja","Media","Alta","A gas","Magiclik","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:44:21 PM GMT-3","Hombre","41","1.93","Atrás izquierda","Alta","Baja","Media","Media","A gas","Magiclik","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:44:38 PM GMT-3","Mujer","30","1.57","Adelante izquierda","Alta","Media","Alta","Media","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:44:51 PM GMT-3","Hombre","29","1.90","Atrás derecha","Media","Media","Alta","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:44:52 PM GMT-3","Mujer","26","158","Adelante derecha","Media","Media","Media","Alta","Eléctrica","Es automático","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Al frente"
"2020/08/11 8:45:06 PM GMT-3","Mujer","45","1.70","Atrás derecha","Media","Media","Baja","Alta","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:45:12 PM GMT-3","Mujer","25","1.70","Adelante derecha","Media","Media","Alta","Media","Eléctrica","Botón de la cocina","Todos los días","Izquierda","No","No","Izquierda;Derecha"
"2020/08/11 8:45:18 PM GMT-3","Mujer","27","1.62","Adelante izquierda","Alta","Alta","Baja","Alta","A gas","Botón de la cocina","Día por medio","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 8:45:25 PM GMT-3","Mujer","18","1.73","Adelante derecha","Funciona mal","Baja","Alta","Baja","A gas","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:45:29 PM GMT-3","Hombre","29","1.83","Atrás izquierda","Alta","Baja","Media","Media","A gas","Encendedor;Botón de la cocina","Día por medio","Derecha","No","No","Izquierda"
"2020/08/11 8:45:30 PM GMT-3","Hombre","17","1.76","Adelante izquierda","Funciona mal","Alta","Media","Baja","A gas","Encendedor","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 8:45:31 PM GMT-3","Mujer","24","1.69","Adelante derecha","Alta","Funciona mal","Alta","Baja","A gas","Encendedor;Magiclik","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:45:35 PM GMT-3","Hombre","22","1.75","Atrás derecha","Alta","Alta","Alta","Alta","A gas","Magiclik","Todos los días","Izquierda","No","No","Izquierda;Derecha"
"2020/08/11 8:45:41 PM GMT-3","Hombre","33","1.74","Atrás derecha","Media","Baja","Media","Alta","A gas","Encendedor","Todos los días","Derecha","No","No","Izquierda"
